timestamp,service,consistency,latency_ms,success,error_message
2025-07-31T22:20:28.937857,avaliacoes,eventual,9.258508682250977,True,
2025-07-31T22:20:28.995212,avaliacoes,eventual,6.9255828857421875,True,
2025-07-31T22:20:29.054330,avaliacoes,eventual,8.689641952514648,True,
2025-07-31T22:20:29.112219,avaliacoes,eventual,7.645368576049805,True,
2025-07-31T22:20:29.172172,avaliacoes,eventual,9.531974792480469,True,
2025-07-31T22:20:29.230123,avaliacoes,eventual,7.595300674438477,True,
2025-07-31T22:20:29.286366,avaliacoes,eventual,5.933284759521484,True,
2025-07-31T22:20:29.344947,avaliacoes,eventual,8.210420608520508,True,
2025-07-31T22:20:29.403129,avaliacoes,eventual,7.75599479675293,True,
2025-07-31T22:20:29.462839,avaliacoes,eventual,9.324312210083008,True,
2025-07-31T22:20:29.520813,avaliacoes,eventual,7.555484771728516,True,
2025-07-31T22:20:29.579685,avaliacoes,eventual,8.457183837890625,True,
2025-07-31T22:20:29.637611,avaliacoes,eventual,7.524251937866211,True,
2025-07-31T22:20:29.692158,avaliacoes,eventual,4.329204559326172,True,
2025-07-31T22:20:29.746431,avaliacoes,eventual,4.033327102661133,True,
2025-07-31T22:20:29.805853,avaliacoes,eventual,9.080886840820312,True,
2025-07-31T22:20:29.861615,avaliacoes,eventual,5.621671676635742,True,
2025-07-31T22:20:29.919002,avaliacoes,eventual,7.0705413818359375,True,
2025-07-31T22:20:29.976694,avaliacoes,eventual,7.348537445068359,True,
2025-07-31T22:20:30.036107,avaliacoes,eventual,9.125232696533203,True,
2025-07-31T22:20:30.092747,avaliacoes,eventual,6.355524063110352,True,
2025-07-31T22:20:30.150964,avaliacoes,eventual,7.803440093994141,True,
2025-07-31T22:20:30.205151,avaliacoes,eventual,3.940582275390625,True,
2025-07-31T22:20:30.259692,avaliacoes,eventual,4.020452499389648,True,
2025-07-31T22:20:30.313653,avaliacoes,eventual,3.740549087524414,True,
2025-07-31T22:20:30.369537,avaliacoes,eventual,5.570173263549805,True,
2025-07-31T22:20:30.426372,avaliacoes,eventual,6.61778450012207,True,
2025-07-31T22:20:30.482642,avaliacoes,eventual,6.07752799987793,True,
2025-07-31T22:20:30.536773,avaliacoes,eventual,3.9856433868408203,True,
2025-07-31T22:20:30.591249,avaliacoes,eventual,4.3182373046875,True,
2025-07-31T22:20:30.650127,avaliacoes,eventual,8.518457412719727,True,
2025-07-31T22:20:30.706094,avaliacoes,eventual,5.720376968383789,True,
2025-07-31T22:20:30.761690,avaliacoes,eventual,5.391359329223633,True,
2025-07-31T22:20:30.817505,avaliacoes,eventual,5.659818649291992,True,
2025-07-31T22:20:30.872401,avaliacoes,eventual,4.727602005004883,True,
2025-07-31T22:20:30.927862,avaliacoes,eventual,5.22303581237793,True,
2025-07-31T22:20:30.981870,avaliacoes,eventual,3.8666725158691406,True,
2025-07-31T22:20:31.036003,avaliacoes,eventual,3.9551258087158203,True,
2025-07-31T22:20:31.089538,avaliacoes,eventual,3.3664703369140625,True,
2025-07-31T22:20:31.142763,avaliacoes,eventual,3.1142234802246094,True,
2025-07-31T22:20:31.196471,avaliacoes,eventual,3.5419464111328125,True,
2025-07-31T22:20:31.252480,avaliacoes,eventual,5.613803863525391,True,
2025-07-31T22:20:31.308107,avaliacoes,eventual,5.251407623291016,True,
2025-07-31T22:20:31.363885,avaliacoes,eventual,5.4187774658203125,True,
2025-07-31T22:20:31.422607,avaliacoes,eventual,8.319854736328125,True,
2025-07-31T22:20:31.482583,avaliacoes,eventual,9.549856185913086,True,
2025-07-31T22:20:31.541615,avaliacoes,eventual,8.676767349243164,True,
2025-07-31T22:20:31.599721,avaliacoes,eventual,7.802486419677734,True,
2025-07-31T22:20:31.659342,avaliacoes,eventual,9.189844131469727,True,
2025-07-31T22:20:31.716591,avaliacoes,eventual,6.691694259643555,True,
2025-07-31T22:20:31.771330,avaliacoes,eventual,4.425764083862305,True,
2025-07-31T22:20:31.829871,avaliacoes,eventual,8.142471313476562,True,
2025-07-31T22:20:31.884519,avaliacoes,eventual,4.320621490478516,True,
2025-07-31T22:20:31.942900,avaliacoes,eventual,7.995128631591797,True,
2025-07-31T22:20:32.000472,avaliacoes,eventual,7.052898406982422,True,
2025-07-31T22:20:32.060316,avaliacoes,eventual,9.39178466796875,True,
2025-07-31T22:20:32.119385,avaliacoes,eventual,8.654117584228516,True,
2025-07-31T22:20:32.174901,avaliacoes,eventual,5.278587341308594,True,
2025-07-31T22:20:32.229602,avaliacoes,eventual,4.520416259765625,True,
